article_id,url_canonical,outlet,published_date,year,month,period,section,is_wire,word_count,category,perplexity_score,radar_score,binoculars_score,fastdetectgpt_score,author_id
24151,https://gript.ie/special-education-school-risks-closure-over-fire-safety-fears,gript,2022-11-30,2022,2022-11,post,Featured|Irish News|News,0,597,counter-consensus,-2.6846210956573486,0.0105074383318424,-0.9883205890655518,0.0991886928677558,byline_ace2209ad7
24153,https://gript.ie/grooming-parents-in-shock-at-claim-by-womens-group-over-schools-recommended-reading-list,gript,2022-11-30,2022,2022-11,post,Featured|Irish News,0,844,counter-consensus,-3.096332550048828,0.0115023367106914,-1.0180091857910156,-1.4734221696853638,byline_3fe01129bb
47880,https://gript.ie/watch-mattie-mcgrath-slams-highly-paid-ngos-who-lecture-people-on-immigration,gript,2022-11-30,2022,2022-11,post,Irish News|NGOs and Your Taxes,0,350,counter-consensus,-2.859226703643799,0.0098427766934037,-0.9808331727981568,0.0811752304434776,byline_3fe01129bb
48114,https://gript.ie/watch-the-government-forced-us-to-take-to-the-streets-east-wall-protests-block-roads-again,gript,2022-11-30,2022,2022-11,post,Featured|Irish News,0,448,counter-consensus,-3.2709202766418457,0.0039498736150562,-1.043710470199585,-0.7967516183853149,byline_3fe01129bb
48117,https://gript.ie/online-launch-of-the-latest-release-of-material-from-the-military-service-1916-1923-pensions-collection,gript,2022-11-30,2022,2022-11,post,Irish News,0,282,counter-consensus,-2.559367418289185,0.0055515179410576,-1.0597765445709229,-0.922748327255249,byline_3fe01129bb
48119,https://gript.ie/new-agri-food-regulator-must-not-adopt-light-touch-approach-to-fines-and-penalties-carol-nolan,gript,2022-11-30,2022,2022-11,post,Irish News,0,291,counter-consensus,-3.1468617916107178,0.0068485792726278,-1.0240212678909302,0.0295935552567243,byline_3fe01129bb
48120,https://gript.ie/elon-musk-i-hereby-abolish-twitters-covid-misinformation-policy,gript,2022-11-30,2022,2022-11,post,Comment|Comment World|Featured|World News,0,895,counter-consensus,-3.091497898101806,0.0211328044533729,-1.0262248516082764,-1.1578497886657717,byline_6dcbdbcc6d
48122,https://gript.ie/alzheimer-society-welcomes-drug-trial-results-showing-positive-results,gript,2022-11-30,2022,2022-11,post,Irish News,0,295,counter-consensus,-2.511554479598999,0.0032390225678682,-1.1151567697525024,-2.37905502319336,byline_3fe01129bb
24145,https://gript.ie/sf-senators-outrage-gender-balance-in-the-fire-department,gript,2022-12-01,2022,2022-12,post,Comment Ireland|Featured,0,1131,counter-consensus,-2.7747089862823486,0.0311150848865509,-1.0022226572036743,-0.9587299823760986,byline_364164320e
24146,https://gript.ie/irish-times-columnist-its-time-to-ditch-the-national-anthem,gript,2022-12-01,2022,2022-12,post,Comment Ireland|Featured,0,845,counter-consensus,-3.334157705307007,0.0135704195126891,-1.007169485092163,-0.6690497994422913,byline_6dcbdbcc6d
48112,https://gript.ie/musk-says-twitter-interfered-in-elections,gript,2022-12-01,2022,2022-12,post,World News,0,426,counter-consensus,-2.8996503353118896,0.0297524537891149,-0.9940831065177916,0.1469727456569671,byline_3fe01129bb
24139,https://gript.ie/what-alan-dukes-got-wrong-about-the-border-counties,gript,2022-12-02,2022,2022-12,post,Comment Ireland|Featured|Irish News,0,887,counter-consensus,-3.282534599304199,0.0079549774527549,-0.975752890110016,-0.48393514752388,byline_6dcbdbcc6d
24140,https://gript.ie/watching-casablanca-on-its-80th-anniversary-we-remain-in-awe-of-its-simplicity-and-profound-depth,gript,2022-12-02,2022,2022-12,post,Comment Ireland,0,927,counter-consensus,-3.076853513717652,0.0067360699176788,-0.9937373995780944,-0.7355888485908508,byline_8e4dc278c8
24141,https://gript.ie/ryan-calls-for-replacing-leinster-house-car-park-with-green-space,gript,2022-12-02,2022,2022-12,post,Featured|Irish News,0,355,counter-consensus,-2.7784407138824463,0.0120946690440177,-0.9559844732284546,0.9047236442565918,byline_364164320e
24142,https://gript.ie/inadequate-supports-preventing-many-disabled-people-from-living-full-and-independent-life,gript,2022-12-02,2022,2022-12,post,Irish News,0,844,counter-consensus,-2.779702425003052,0.010126119479537,-1.0307023525238037,-1.0402233600616455,byline_3fe01129bb
24143,https://gript.ie/do-record-irish-savings-show-the-true-cost-of-lockdowns,gript,2022-12-02,2022,2022-12,post,Comment Ireland|Featured|Irish News,0,737,counter-consensus,-2.827792167663574,0.0074968240223824,-0.960586667060852,1.42038893699646,byline_6dcbdbcc6d
48109,https://gript.ie/cllr-says-two-tier-social-care-system-is-leaving-vulnerable-irish-feeling-let-down-by-gov,gript,2022-12-02,2022,2022-12,post,Featured|Irish News,0,647,counter-consensus,-3.0709569454193115,0.0163851492106914,-1.004583716392517,-0.5760533213615417,byline_81332d2dc7
